original,location,sample_period,duplicate,location,sample_period
IG1995001,Igloolik,1,IG1995001,Igloolik,1
IG1995002,Igloolik,1,IG1995002,Igloolik,1
IG1995003,Igloolik,1,IG2002030,Igloolik,7
IG1995003,Igloolik,1,IG1995003,Igloolik,1
IG1995004,Igloolik,1,IG1995004,Igloolik,1
IG1995005,Igloolik,1,IG1995005,Igloolik,1
IG1995007,Igloolik,1,IG1995007,Igloolik,1
IG1995008,Igloolik,1,IG1995008,Igloolik,1
IG1995009,Igloolik,1,IG1995009,Igloolik,1
IG1995010,Igloolik,1,IG1995010,Igloolik,1
IG1995011,Igloolik,1,IG1995011,Igloolik,1
IG1996002,Igloolik,2,IG1996002,Igloolik,2
IG1996003,Igloolik,2,IG1996003,Igloolik,2
IG1996004,Igloolik,2,IG1996004,Igloolik,2
IG1996005,Igloolik,2,IG1996005,Igloolik,2
IG1996006,Igloolik,2,IG1996006,Igloolik,2
IG1996008,Igloolik,2,IG1996008,Igloolik,2
IG1996010,Igloolik,2,IG1996010,Igloolik,2
IG1996011,Igloolik,2,IG1996011,Igloolik,2
IG1996012,Igloolik,2,IG1996012,Igloolik,2
IG1996013,Igloolik,2,IG1996013,Igloolik,2
IG1996014,Igloolik,2,IG1996014,Igloolik,2
IG1996015,Igloolik,2,IG1996015,Igloolik,2
IG1996016,Igloolik,2,IG1996016,Igloolik,2
IG1996017,Igloolik,2,IG1996017,Igloolik,2
IG1996018,Igloolik,2,IG1996018,Igloolik,2
IG1996019,Igloolik,2,IG1996019,Igloolik,2
IG1996020,Igloolik,2,IG1996020,Igloolik,2
IG1997001,Igloolik,3,IG1997001,Igloolik,3
IG2001001,Igloolik,6,IG2001001,Igloolik,6
IG2001002,Igloolik,6,IG2001002,Igloolik,6
IG2001003,Igloolik,6,IG2001003,Igloolik,6
IG2001004,Igloolik,6,IG2001004,Igloolik,6
IG2001005,Igloolik,6,IG2001005,Igloolik,6
IG2001006,Igloolik,6,IG2001006,Igloolik,6
IG2001007,Igloolik,6,IG2001007,Igloolik,6
IG2001008,Igloolik,6,IG2001008,Igloolik,6
IG2001009,Igloolik,6,IG2001009,Igloolik,6
IG2001010,Igloolik,6,IG2001010,Igloolik,6
IG2001011,Igloolik,6,IG2001011,Igloolik,6
IG2001013,Igloolik,6,IG2001013,Igloolik,6
IG2001014,Igloolik,6,IG2001014,Igloolik,6
IG2001015,Igloolik,6,IG2001016,Igloolik,6
IG2001015,Igloolik,6,IG2001015,Igloolik,6
IG2001017,Igloolik,6,IG2001017,Igloolik,6
IG2001018,Igloolik,6,IG2001018,Igloolik,6
IG2001020,Igloolik,6,IG2001020,Igloolik,6
IG2001021,Igloolik,6,IG2001021,Igloolik,6
IG2001022,Igloolik,6,IG2001022,Igloolik,6
IG2001023,Igloolik,6,IG2001023,Igloolik,6
IG2001024,Igloolik,6,IG2001024,Igloolik,6
IG2001027,Igloolik,6,IG2001027,Igloolik,6
IG2001028,Igloolik,6,IG2001028,Igloolik,6
IG2001029,Igloolik,6,IG2001029,Igloolik,6
IG2001030,Igloolik,6,IG2001030,Igloolik,6
IG2001031,Igloolik,6,IG2002005,Igloolik,7
IG2001031,Igloolik,6,IG2001031,Igloolik,6
IG2001034,Igloolik,6,IG2002015,Igloolik,7
IG2001034,Igloolik,6,IG2001034,Igloolik,6
IG2001040,Igloolik,6,IG2001040,Igloolik,6
IG2001042,Igloolik,6,IG2001042,Igloolik,6
IG2001043,Igloolik,6,IG2001043,Igloolik,6
IG2001044,Igloolik,6,IG2001044,Igloolik,6
IG2001045,Igloolik,6,IG2001045,Igloolik,6
IG2001046,Igloolik,6,IG2001046,Igloolik,6
IG2002001,Igloolik,7,IG2002001,Igloolik,7
IG2002002,Igloolik,7,IG2002002,Igloolik,7
IG2002003,Igloolik,7,IG2002003,Igloolik,7
IG2002004,Igloolik,7,IG2002004,Igloolik,7
IG2002007,Igloolik,7,IG2002007,Igloolik,7
IG2002009,Igloolik,7,IG2002009,Igloolik,7
IG2002010,Igloolik,7,IG2002010,Igloolik,7
IG2002012,Igloolik,7,IG2002012,Igloolik,7
IG2002013,Igloolik,7,IG2002013,Igloolik,7
IG2002016,Igloolik,7,IG2002016,Igloolik,7
IG2002017,Igloolik,7,IG2002017,Igloolik,7
IG2002020,Igloolik,7,IG2002020,Igloolik,7
IG2002023,Igloolik,7,IG2002023,Igloolik,7
IG2002024,Igloolik,7,IG2002024,Igloolik,7
IG2002025,Igloolik,7,IG2002025,Igloolik,7
IG2002026,Igloolik,7,IG2002026,Igloolik,7
IG2002028,Igloolik,7,IG2002028,Igloolik,7
IG2002029,Igloolik,7,IG2002029,Igloolik,7
IG2002031,Igloolik,7,IG2002031,Igloolik,7
IG2002032,Igloolik,7,IG2002032,Igloolik,7
IG2002033,Igloolik,7,IG2002033,Igloolik,7
IG2002034,Igloolik,7,IG2002034,Igloolik,7
IG2002039,Igloolik,7,IG2002039,Igloolik,7
IG2002040,Igloolik,7,IG2002040,Igloolik,7
IG2002044,Igloolik,7,IG2002044,Igloolik,7
IG2002045,Igloolik,7,IG2002045,Igloolik,7
IG2002046,Igloolik,7,PG2012023,Pangnirtung,7
IG2002046,Igloolik,7,IG2002046,Igloolik,7
IG2002047,Igloolik,7,IG2002047,Igloolik,7
IG2002048,Igloolik,7,IG2002048,Igloolik,7
IG2002049,Igloolik,7,IG2002049,Igloolik,7
IG2002050,Igloolik,7,IG2002050,Igloolik,7
IG2002051,Igloolik,7,IG2002051,Igloolik,7
IG2002052,Igloolik,7,IG2002052,Igloolik,7
IG2002053,Igloolik,7,IG2002053,Igloolik,7
IG2002055,Igloolik,7,IG2002055,Igloolik,7
IG2002056,Igloolik,7,IG2002056,Igloolik,7
IG2002057,Igloolik,7,IG2002057,Igloolik,7
IG2002059,Igloolik,7,IG2002059,Igloolik,7
IG2002060,Igloolik,7,IG2002060,Igloolik,7
IG2002061,Igloolik,7,IG2002061,Igloolik,7
IG2002062,Igloolik,7,IG2002062,Igloolik,7
IG2002064,Igloolik,7,IG2002064,Igloolik,7
IG2002065,Igloolik,7,IG2002065,Igloolik,7
IG2002066,Igloolik,7,IG2002066,Igloolik,7
IG2002067,Igloolik,7,IG2002067,Igloolik,7
IG2002069,Igloolik,7,IG2002069,Igloolik,7
IG2002070,Igloolik,7,IG2002070,Igloolik,7
IG2002071,Igloolik,7,IG2002071,Igloolik,7
IG2002072,Igloolik,7,IG2002072,Igloolik,7
IG2002073,Igloolik,7,IG2002073,Igloolik,7
IG2003001,Igloolik,8,IG2003001,Igloolik,8
IG2003002,Igloolik,8,IG2003002,Igloolik,8
IG2003003,Igloolik,8,IG2003003,Igloolik,8
IG2003004,Igloolik,8,IG2003004,Igloolik,8
IG2003005,Igloolik,8,IG2003005,Igloolik,8
IG2003006,Igloolik,8,PG2011025,Pangnirtung,8
IG2003006,Igloolik,8,PG2011026,Pangnirtung,8
IG2003006,Igloolik,8,IG2003006,Igloolik,8
IG2003008,Igloolik,8,IG2003008,Igloolik,8
IG2003009,Igloolik,8,IG2003009,Igloolik,8
IG2003010,Igloolik,8,IG2009033,Igloolik,14
IG2003010,Igloolik,8,IG2003010,Igloolik,8
IG2003011,Igloolik,8,IG2003011,Igloolik,8
IG2003011,Igloolik,8,PG2006004,Pangnirtung,8
IG2003012,Igloolik,8,IG2003012,Igloolik,8
IG2003013,Igloolik,8,IG2003013,Igloolik,8
IG2003015,Igloolik,8,IG2003015,Igloolik,8
IG2003016,Igloolik,8,IG2003016,Igloolik,8
IG2003017,Igloolik,8,IG2003017,Igloolik,8
IG2003019,Igloolik,8,IG2003019,Igloolik,8
IG2003020,Igloolik,8,IG2003020,Igloolik,8
IG2003022,Igloolik,8,IG2003022,Igloolik,8
IG2003023,Igloolik,8,IG2003023,Igloolik,8
IG2003024,Igloolik,8,IG2003024,Igloolik,8
IG2003025,Igloolik,8,IG2003025,Igloolik,8
IG2003026,Igloolik,8,IG2003026,Igloolik,8
IG2003027,Igloolik,8,IG2003027,Igloolik,8
IG2003028,Igloolik,8,IG2003028,Igloolik,8
IG2003029,Igloolik,8,IG2003029,Igloolik,8
IG2003030,Igloolik,8,IG2003030,Igloolik,8
IG2003031,Igloolik,8,IG2003031,Igloolik,8
IG2008001,Igloolik,13,IG2008001,Igloolik,13
IG2008002,Igloolik,13,IG2008002,Igloolik,13
IG2008003,Igloolik,13,IG2008003,Igloolik,13
IG2008004,Igloolik,13,IG2008004,Igloolik,13
IG2008005,Igloolik,13,IG2008005,Igloolik,13
IG2008007,Igloolik,13,IG2008007,Igloolik,13
IG2009001,Igloolik,14,IG2009001,Igloolik,14
IG2009002,Igloolik,14,IG2009002,Igloolik,14
IG2009003,Igloolik,14,IG2009003,Igloolik,14
IG2009004,Igloolik,14,IG2009004,Igloolik,14
IG2009005,Igloolik,14,IG2009005,Igloolik,14
IG2009008,Igloolik,14,IG2009008,Igloolik,14
IG2009009,Igloolik,14,IG2009009,Igloolik,14
IG2009010,Igloolik,14,IG2009010,Igloolik,14
IG2009011,Igloolik,14,IG2009011,Igloolik,14
IG2009014,Igloolik,14,IG2009014,Igloolik,14
IG2009015,Igloolik,14,IG2009015,Igloolik,14
IG2009016,Igloolik,14,IG2009016,Igloolik,14
IG2009018,Igloolik,14,IG2009018,Igloolik,14
IG2009019,Igloolik,14,IG2009019,Igloolik,14
IG2009020,Igloolik,14,IG2009020,Igloolik,14
IG2009021,Igloolik,14,IG2009021,Igloolik,14
IG2009022,Igloolik,14,IG2009022,Igloolik,14
IG2009023,Igloolik,14,IG2009023,Igloolik,14
IG2009025,Igloolik,14,IG2009025,Igloolik,14
IG2009026,Igloolik,14,IG2009026,Igloolik,14
IG2009027,Igloolik,14,IG2009027,Igloolik,14
IG2009028,Igloolik,14,IG2009028,Igloolik,14
IG2009029,Igloolik,14,IG2009029,Igloolik,14
IG2009030,Igloolik,14,IG2009030,Igloolik,14
IG2009030,Igloolik,14,IG2013159,Igloolik,17
IG2009031,Igloolik,14,IG2009031,Igloolik,14
IG2009032,Igloolik,14,IG2009032,Igloolik,14
IG2009032,Igloolik,14,IG2012079,Igloolik,16
IG2009034,Igloolik,14,IG2009034,Igloolik,14
IG2009035,Igloolik,14,IG2009035,Igloolik,14
IG2009036,Igloolik,14,IG2009036,Igloolik,14
IG2009037,Igloolik,14,IG2009037,Igloolik,14
IG2009038,Igloolik,14,IG2009038,Igloolik,14
IG2009039,Igloolik,14,IG2009039,Igloolik,14
IG2009039,Igloolik,14,IG2013020,Igloolik,17
IG2009039,Igloolik,14,IG2013016,Igloolik,17
IG2009040,Igloolik,14,IG2009040,Igloolik,14
IG2009041,Igloolik,14,IG2009041,Igloolik,14
IG2009042,Igloolik,14,IG2009042,Igloolik,14
IG2009042,Igloolik,14,IG2013032,Igloolik,17
IG2009043,Igloolik,14,IG2009043,Igloolik,14
IG2009044,Igloolik,14,IG2009044,Igloolik,14
IG2009045,Igloolik,14,IG2009045,Igloolik,14
IG2009046,Igloolik,14,IG2009046,Igloolik,14
IG2009047,Igloolik,14,IG2009047,Igloolik,14
IG2009048,Igloolik,14,IG2009048,Igloolik,14
IG2009049,Igloolik,14,IG2009049,Igloolik,14
IG2009050,Igloolik,14,IG2009050,Igloolik,14
IG2009051,Igloolik,14,IG2009051,Igloolik,14
IG2009052,Igloolik,14,IG2009052,Igloolik,14
IG2009053,Igloolik,14,IG2009053,Igloolik,14
IG2009054,Igloolik,14,IG2009054,Igloolik,14
IG2009055,Igloolik,14,IG2009055,Igloolik,14
IG2009056,Igloolik,14,IG2009056,Igloolik,14
IG2009057,Igloolik,14,IG2009057,Igloolik,14
IG2009058,Igloolik,14,IG2009058,Igloolik,14
IG2009059,Igloolik,14,IG2009059,Igloolik,14
IG2009060,Igloolik,14,IG2009060,Igloolik,14
IG2009061,Igloolik,14,IG2009061,Igloolik,14
IG2009062,Igloolik,14,IG2009062,Igloolik,14
IG2009064,Igloolik,14,IG2009064,Igloolik,14
IG2009065,Igloolik,14,IG2009065,Igloolik,14
IG2009066,Igloolik,14,IG2009066,Igloolik,14
IG2009067,Igloolik,14,IG2009067,Igloolik,14
IG2009068,Igloolik,14,IG2013034,Igloolik,17
IG2009068,Igloolik,14,IG2009068,Igloolik,14
IG2009069,Igloolik,14,IG2009069,Igloolik,14
IG2009070,Igloolik,14,IG2009075,Igloolik,14
IG2009070,Igloolik,14,IG2009070,Igloolik,14
IG2009071,Igloolik,14,IG2009071,Igloolik,14
IG2009072,Igloolik,14,PG2013009,Pangnirtung,14
IG2009072,Igloolik,14,IG2009072,Igloolik,14
IG2009073,Igloolik,14,IG2009073,Igloolik,14
IG2009074,Igloolik,14,IG2009074,Igloolik,14
IG2009076,Igloolik,14,IG2013046,Igloolik,17
IG2009076,Igloolik,14,IG2009076,Igloolik,14
IG2009076,Igloolik,14,IG2012046,Igloolik,16
IG2009077,Igloolik,14,IG2009077,Igloolik,14
IG2009078,Igloolik,14,IG2009078,Igloolik,14
IG2009079,Igloolik,14,IG2009079,Igloolik,14
IG2009080,Igloolik,14,IG2009080,Igloolik,14
IG2009081,Igloolik,14,IG2009081,Igloolik,14
IG2009082,Igloolik,14,IG2009082,Igloolik,14
IG2009082,Igloolik,14,IG2012035,Igloolik,16
IG2009090,Igloolik,14,IG2009090,Igloolik,14
IG2009091,Igloolik,14,IG2009091,Igloolik,14
IG2009091,Igloolik,14,IG2009093,Igloolik,14
IG2009092,Igloolik,14,IG2009092,Igloolik,14
IG2009092,Igloolik,14,IG2013062,Igloolik,17
IG2009094,Igloolik,14,IG2012039,Igloolik,16
IG2009094,Igloolik,14,IG2009094,Igloolik,14
IG2009094,Igloolik,14,IG2012014,Igloolik,16
IG2009095,Igloolik,14,IG2009095,Igloolik,14
IG2009096,Igloolik,14,IG2009096,Igloolik,14
IG2011001,Igloolik,15,IG2011001,Igloolik,15
IG2011002,Igloolik,15,IG2011002,Igloolik,15
IG2011003,Igloolik,15,IG2011003,Igloolik,15
IG2011004,Igloolik,15,IG2011004,Igloolik,15
IG2011005,Igloolik,15,IG2011005,Igloolik,15
IG2011006,Igloolik,15,IG2011006,Igloolik,15
IG2011007,Igloolik,15,IG2011007,Igloolik,15
IG2011008,Igloolik,15,IG2011008,Igloolik,15
IG2011008,Igloolik,15,IG2011009,Igloolik,15
IG2011010,Igloolik,15,IG2011010,Igloolik,15
IG2011011,Igloolik,15,IG2011011,Igloolik,15
IG2011011,Igloolik,15,IG2013113,Igloolik,17
IG2011012,Igloolik,15,IG2011012,Igloolik,15
IG2011013,Igloolik,15,IG2011013,Igloolik,15
IG2011015,Igloolik,15,IG2011015,Igloolik,15
IG2011016,Igloolik,15,IG2011016,Igloolik,15
IG2011017,Igloolik,15,IG2011017,Igloolik,15
IG2011018,Igloolik,15,IG2011018,Igloolik,15
IG2011019,Igloolik,15,IG2011019,Igloolik,15
IG2011021,Igloolik,15,IG2011021,Igloolik,15
IG2011022,Igloolik,15,IG2011022,Igloolik,15
IG2011023,Igloolik,15,IG2011023,Igloolik,15
IG2011024,Igloolik,15,IG2011024,Igloolik,15
IG2011025,Igloolik,15,IG2011025,Igloolik,15
IG2011026,Igloolik,15,IG2011026,Igloolik,15
IG2011027,Igloolik,15,IG2011027,Igloolik,15
IG2011028,Igloolik,15,IG2011028,Igloolik,15
IG2011029,Igloolik,15,IG2011029,Igloolik,15
IG2011031,Igloolik,15,IG2011031,Igloolik,15
IG2011032,Igloolik,15,IG2011032,Igloolik,15
IG2011033,Igloolik,15,IG2011033,Igloolik,15
IG2011034,Igloolik,15,IG2011034,Igloolik,15
IG2011035,Igloolik,15,IG2011035,Igloolik,15
IG2011036,Igloolik,15,IG2011036,Igloolik,15
IG2011037,Igloolik,15,IG2011037,Igloolik,15
IG2011038,Igloolik,15,IG2011038,Igloolik,15
IG2011039,Igloolik,15,IG2011039,Igloolik,15
IG2011040,Igloolik,15,IG2011040,Igloolik,15
IG2011041,Igloolik,15,IG2011041,Igloolik,15
IG2011042,Igloolik,15,IG2011042,Igloolik,15
IG2011043,Igloolik,15,IG2011043,Igloolik,15
IG2011044,Igloolik,15,IG2011044,Igloolik,15
IG2012001,Igloolik,16,IG2013160,Igloolik,17
IG2012001,Igloolik,16,IG2012001,Igloolik,16
IG2012001,Igloolik,16,IG2012017,Igloolik,16
IG2012003,Igloolik,16,IG2012003,Igloolik,16
IG2012004,Igloolik,16,IG2013102,Igloolik,17
IG2012004,Igloolik,16,IG2012004,Igloolik,16
