original,location,sample_period,duplicate,location,sample_period
DB2007006,Greenland,12,PG2012112,Pangnirtung,16
DB2007019,Greenland,12,PG2011044,Pangnirtung,15
DB2007019,Greenland,12,PG2011042,Pangnirtung,15
DB2007019,Greenland,12,PG2011041,Pangnirtung,15
IG2002046,Igloolik,7,PG2012023,Pangnirtung,16
IG2003006,Igloolik,8,PG2011025,Pangnirtung,15
IG2003006,Igloolik,8,PG2011026,Pangnirtung,15
IG2003011,Igloolik,8,PG2006004,Pangnirtung,11
IG2009072,Igloolik,14,PG2013009,Pangnirtung,17
IG2013094,Igloolik,17,PG2004015,Pangnirtung,9
PG1997001,Pangnirtung,3,PG1997001,Pangnirtung,3
PG1997002,Pangnirtung,3,PG1997002,Pangnirtung,3
PG1997003,Pangnirtung,3,PG1997003,Pangnirtung,3
PG1997006,Pangnirtung,3,PG1997006,Pangnirtung,3
PG1997008,Pangnirtung,3,PG1997008,Pangnirtung,3
PG1997010,Pangnirtung,3,PG1997010,Pangnirtung,3
PG1997011,Pangnirtung,3,PG1997011,Pangnirtung,3
PG1997012,Pangnirtung,3,PG1997012,Pangnirtung,3
PG1997014,Pangnirtung,3,PG1997014,Pangnirtung,3
PG1997017,Pangnirtung,3,PG1997017,Pangnirtung,3
PG1997018,Pangnirtung,3,PG1997018,Pangnirtung,3
PG1997019,Pangnirtung,3,PG1997019,Pangnirtung,3
PG1997020,Pangnirtung,3,PG1997020,Pangnirtung,3
PG1997021,Pangnirtung,3,PG1997021,Pangnirtung,3
PG1997024,Pangnirtung,3,PG1997024,Pangnirtung,3
PG1997025,Pangnirtung,3,PG1997025,Pangnirtung,3
PG1997026,Pangnirtung,3,PG1997026,Pangnirtung,3
PG20021061,Pangnirtung,7,PG20021061,Pangnirtung,7
PG20021062,Pangnirtung,7,PG20021062,Pangnirtung,7
PG20021063,Pangnirtung,7,PG20021063,Pangnirtung,7
PG20021064,Pangnirtung,7,PG20021064,Pangnirtung,7
PG20021065,Pangnirtung,7,PG20021065,Pangnirtung,7
PG20021066,Pangnirtung,7,PG20021067,Pangnirtung,7
PG20021066,Pangnirtung,7,PG20021066,Pangnirtung,7
PG20021068,Pangnirtung,7,PG20021068,Pangnirtung,7
PG20021071,Pangnirtung,7,PG20021071,Pangnirtung,7
PG20021080,Pangnirtung,7,PG20021080,Pangnirtung,7
PG2004001,Pangnirtung,9,PG2004001,Pangnirtung,9
PG2004011,Pangnirtung,9,PG2004011,Pangnirtung,9
PG2004012,Pangnirtung,9,PG2004012,Pangnirtung,9
PG2004014,Pangnirtung,9,PG2004014,Pangnirtung,9
PG2004018,Pangnirtung,9,PG2004018,Pangnirtung,9
PG2005001,Pangnirtung,10,PG2005001,Pangnirtung,10
PG2005002,Pangnirtung,10,PG2005002,Pangnirtung,10
PG2005003,Pangnirtung,10,PG2005003,Pangnirtung,10
PG2005004,Pangnirtung,10,PG2005004,Pangnirtung,10
PG2005006,Pangnirtung,10,PG2005006,Pangnirtung,10
PG2005011,Pangnirtung,10,PG2005011,Pangnirtung,10
PG2005012,Pangnirtung,10,PG2005012,Pangnirtung,10
PG2005021,Pangnirtung,10,PG2005021,Pangnirtung,10
PG2005022,Pangnirtung,10,PG2005022,Pangnirtung,10
PG2005023,Pangnirtung,10,PG2005023,Pangnirtung,10
PG2005025,Pangnirtung,10,PG2005025,Pangnirtung,10
PG2005026,Pangnirtung,10,PG2005026,Pangnirtung,10
PG2005027,Pangnirtung,10,PG2005027,Pangnirtung,10
PG2005028,Pangnirtung,10,PG2005028,Pangnirtung,10
PG2005029,Pangnirtung,10,PG2005029,Pangnirtung,10
PG2006001,Pangnirtung,11,RB1998001,Repulse Bay,11
PG2006001,Pangnirtung,11,PG2006001,Pangnirtung,11
PG2006002,Pangnirtung,11,PG2006002,Pangnirtung,11
PG2006003,Pangnirtung,11,PG2006003,Pangnirtung,11
PG2006005,Pangnirtung,11,PG2006005,Pangnirtung,11
PG2006006,Pangnirtung,11,PG2006006,Pangnirtung,11
PG2006007,Pangnirtung,11,PG2006007,Pangnirtung,11
PG2006008,Pangnirtung,11,PG2006008,Pangnirtung,11
PG2006009,Pangnirtung,11,PG2006009,Pangnirtung,11
PG2006010,Pangnirtung,11,PG2006010,Pangnirtung,11
PG2006011,Pangnirtung,11,PG2006011,Pangnirtung,11
PG2006012,Pangnirtung,11,PG2006012,Pangnirtung,11
PG2006013,Pangnirtung,11,PG2006013,Pangnirtung,11
PG2006014,Pangnirtung,11,PG2006014,Pangnirtung,11
PG2006015,Pangnirtung,11,PG2006015,Pangnirtung,11
PG2006015,Pangnirtung,11,RB1998003,Repulse Bay,11
PG2006015,Pangnirtung,11,RB2000001,Repulse Bay,11
PG2006016,Pangnirtung,11,PG2006016,Pangnirtung,11
PG2006017,Pangnirtung,11,PG2006017,Pangnirtung,11
PG2006018,Pangnirtung,11,PG2006018,Pangnirtung,11
PG2006019,Pangnirtung,11,PG2006019,Pangnirtung,11
PG2006020,Pangnirtung,11,PG2006020,Pangnirtung,11
PG2006021,Pangnirtung,11,PG2006021,Pangnirtung,11
PG2006022,Pangnirtung,11,PG2006022,Pangnirtung,11
PG2006023,Pangnirtung,11,PG2006023,Pangnirtung,11
PG2006024,Pangnirtung,11,PG2006024,Pangnirtung,11
PG2006025,Pangnirtung,11,PG2006025,Pangnirtung,11
