original,location,sample_period,duplicate,location,sample_period
PG2006001,Pangnirtung,11,RB1998001,"Repulse Bay",4
PG2006015,Pangnirtung,11,RB2000001,"Repulse Bay",5
PG2006015,Pangnirtung,11,RB1998003,"Repulse Bay",4
RB1997002,"Repulse Bay",3,RB1997002,"Repulse Bay",3
RB1997003,"Repulse Bay",3,RB1997005,"Repulse Bay",3
RB1997003,"Repulse Bay",3,RB1997003,"Repulse Bay",3
RB1997003,"Repulse Bay",3,RB1997006,"Repulse Bay",3
RB1997003,"Repulse Bay",3,RB2000002,"Repulse Bay",5
RB1997003,"Repulse Bay",3,RB1997004,"Repulse Bay",3
RB1998005,"Repulse Bay",4,RB1998005,"Repulse Bay",4
RB2000003,"Repulse Bay",5,RB2000003,"Repulse Bay",5
RB2000004,"Repulse Bay",5,RB2000004,"Repulse Bay",5
RB2001001,"Repulse Bay",6,RB2001001,"Repulse Bay",6
RB2001003,"Repulse Bay",6,RB2001003,"Repulse Bay",6
RB2001004,"Repulse Bay",6,RB2001004,"Repulse Bay",6
RB2005001,"Repulse Bay",10,RB2005001,"Repulse Bay",10
RB2008001,"Repulse Bay",13,RB2008001,"Repulse Bay",13
RB2008002,"Repulse Bay",13,RB2008002,"Repulse Bay",13
RB2008003,"Repulse Bay",13,RB2008003,"Repulse Bay",13
RB2008004,"Repulse Bay",13,RB2008004,"Repulse Bay",13
RB2008005,"Repulse Bay",13,RB2008005,"Repulse Bay",13
RB2009006,"Repulse Bay",14,RB2009006,"Repulse Bay",14
RB2009007,"Repulse Bay",14,RB2009007,"Repulse Bay",14
