original,location,sample_period,duplicate,location,sample_period
AB2008001,"Arctic Bay",13,AB2008001,"Arctic Bay",13
AB2008002,"Arctic Bay",13,AB2008002,"Arctic Bay",13
AB2009001,"Arctic Bay",14,AB2009001,"Arctic Bay",14
AB2009002,"Arctic Bay",14,AB2009002,"Arctic Bay",14
AB2009004,"Arctic Bay",14,AB2009004,"Arctic Bay",14
AB2009005,"Arctic Bay",14,AB2009005,"Arctic Bay",14
AB2009007,"Arctic Bay",14,AB2009007,"Arctic Bay",14
AB2009008,"Arctic Bay",14,AB2009008,"Arctic Bay",14
AB2012003,"Arctic Bay",16,AB2012003,"Arctic Bay",16
CD2009003,"Cape Dorset",14,CD2009003,"Cape Dorset",14
DB2007001,Greenland,12,DB2007001,Greenland,12
DB2007002,Greenland,12,DB2007002,Greenland,12
DB2007003,Greenland,12,DB2007003,Greenland,12
DB2007003,Greenland,12,DB2007040,Greenland,12
DB2007003,Greenland,12,DB2007122,Greenland,12
DB2007003,Greenland,12,DB2007120,Greenland,12
DB2007004,Greenland,12,DB2007004,Greenland,12
DB2007005,Greenland,12,DB2007005,Greenland,12
DB2007006,Greenland,12,DB2007006,Greenland,12
DB2007006,Greenland,12,PG2012112,Pangnirtung,16
DB2007007,Greenland,12,DB2007043,Greenland,12
DB2007007,Greenland,12,DB2007007,Greenland,12
DB2007008,Greenland,12,DB2007008,Greenland,12
DB2007008,Greenland,12,WG2007011,Greenland,12
DB2007008,Greenland,12,DB2007044,Greenland,12
DB2007008,Greenland,12,WG2007029,Greenland,12
DB2007009,Greenland,12,DB2007009,Greenland,12
DB2007011,Greenland,12,DB2007011,Greenland,12
DB2007011,Greenland,12,DB2007074,Greenland,12
DB2007012,Greenland,12,DB2007012,Greenland,12
DB2007013,Greenland,12,DB2007013,Greenland,12
DB2007013,Greenland,12,DB2007096,Greenland,12
DB2007015,Greenland,12,DB2007015,Greenland,12
DB2007015,Greenland,12,DB2007041,Greenland,12
DB2007015,Greenland,12,DB2007027,Greenland,12
DB2007016,Greenland,12,DB2007016,Greenland,12
DB2007017,Greenland,12,DB2007017,Greenland,12
DB2007019,Greenland,12,PG2011041,Pangnirtung,15
DB2007019,Greenland,12,DB2007038,Greenland,12
DB2007019,Greenland,12,PG2011044,Pangnirtung,15
DB2007019,Greenland,12,PG2011042,Pangnirtung,15
DB2007019,Greenland,12,DB2007019,Greenland,12
DB2007019,Greenland,12,DB2007037,Greenland,12
DB2007020,Greenland,12,DB2007020,Greenland,12
DB2007023,Greenland,12,DB2007089,Greenland,12
DB2007023,Greenland,12,DB2007082,Greenland,12
DB2007023,Greenland,12,DB2007023,Greenland,12
DB2007024,Greenland,12,DB2007024,Greenland,12
