omega,p,omega_nd,N,lp__
0.250753833403355,0.0150284421592133,0.236799236282569,7624,-3025.11692351452
0.259910201896592,0.0144860266069288,0.24612348477011,7988,-3025.20535394471
0.517133005931255,0.00797793541002167,0.507126821816603,15811,-3029.2384788834
0.133739704532074,0.0304702178260545,0.116808061878484,4011,-3028.641249744
0.285991508224071,0.0161961059229194,0.269615109903261,8783,-3030.40363459447
0.363709126179189,0.0108717190892106,0.35115694446038,11141,-3025.65439757971
0.287357316622246,0.0145823352266959,0.272554157580311,8830,-3024.73654981944
0.211880885809329,0.0175384780131169,0.197483801263467,6640,-3025.7963986371
0.188884726824843,0.0215015971583203,0.172793962619633,5852,-3024.58329175742
0.206882784237844,0.0196140945483501,0.191102284618538,6294,-3024.14969519157
0.245687739056031,0.0162394837525319,0.230833819162724,7620,-3023.90379370227
0.139108586499872,0.0296749561466717,0.12203119141742,4244,-3028.12779996722
0.364183243135859,0.0105651871100386,0.351977030733719,11052,-3026.1595068435
0.250301695674255,0.0177417018341939,0.233883923729402,7572,-3026.8971623387
0.203325170266715,0.0189145876632275,0.188296257483569,6198,-3024.73967310917
0.35718594375656,0.0106181499848843,0.345026482682767,10907,-3026.44977334835
0.255160619295037,0.0162433450059024,0.239912562117881,7836,-3024.19711467243
0.283684534686504,0.015623530709127,0.267961036365805,8547,-3027.0723448109
0.226109851346876,0.0175821338921512,0.210967791759394,6992,-3023.94949804356
0.22479703753869,0.0171501398393085,0.210083615542986,6899,-3024.42591806261
0.205145572500097,0.0192668523451679,0.189737991121129,6230,-3024.23220222453
0.303466663334594,0.0132599101407855,0.28954663631574,9350,-3024.45682051022
0.226334544825614,0.0180251427035329,0.210806109715495,6979,-3023.97631897002
0.225241657209906,0.0175431579033375,0.210174877775571,6800,-3024.00433411183
0.226980750399205,0.0173167717147286,0.21202184751573,6916,-3024.05575655419
0.197432212797756,0.02097340755857,0.18117553089281,5970,-3024.57824853447
0.225370796415538,0.0175273181673473,0.210311111204397,6898,-3024.00689777262
0.206678251114637,0.0202116147533007,0.190439190830343,6269,-3024.56626451282
0.261220542354461,0.0146664636448697,0.247217132502314,7981,-3024.64343812453
0.196629677784836,0.019956674830974,0.181192928357801,5979,-3024.4934383517
0.226696587486813,0.0185663258699225,0.210691345243626,6905,-3024.53655581053
0.265195560709376,0.016369268900127,0.24942889523736,8103,-3025.76491176742
0.216728271529374,0.0185315092195384,0.20127217421926,6634,-3023.98902537825
0.274191068125313,0.0144114317495934,0.259985670556772,8344,-3024.16642489745
0.381301251707513,0.0105317541334897,0.36889347345517,11584,-3025.94005173486
0.233994488017846,0.0161909035816673,0.219683994427543,7238,-3024.89849705281
0.210187364524297,0.0181954406738812,0.195350488706129,6454,-3024.7771233144
0.214093063192181,0.018650808439133,0.198680421613011,6481,-3024.03121667748
0.189026196433143,0.021069251816341,0.173242078025509,5900,-3024.56579619947
0.276805190137571,0.0144355587279799,0.262489647179186,8517,-3024.11548993768
0.206406905428838,0.0184932599385874,0.191537086233083,6341,-3024.88910223626
0.231968358976588,0.0173950599574915,0.216705303477565,7092,-3023.89257614788
0.287614078182384,0.0133588197448461,0.274035297816532,8723,-3024.84179096351
0.211102847576925,0.0190763130355712,0.195510538417409,6322,-3024.05885407993
0.223603571165908,0.016403693190022,0.20957532279695,6880,-3026.31670144876
0.212830338303013,0.0188825271501099,0.19729869319546,6465,-3024.03451834831
0.174887541965969,0.0230437105661609,0.158698572690107,5406,-3025.09766243915
0.182343202691761,0.0217556886383303,0.166514875101602,5579,-3024.82034345147
0.275801538009892,0.0147021411553776,0.261257988275106,8436,-3024.11302513676
0.313768978622467,0.0122903103437713,0.300611076529986,9558,-3025.14199826718
0.240958457458883,0.0176317547034651,0.225067216896044,7215,-3024.78796106348
0.217849794675625,0.0186607327041055,0.202228140876516,6592,-3024.01488688729
0.236179237686811,0.0180868434053767,0.220113648682264,7346,-3024.97948165231
0.179283097358048,0.0221363233669766,0.163401053923878,5480,-3024.93905483169
0.19720834371559,0.0200541653282905,0.181662485714917,5997,-3024.3909724083
0.161310296315534,0.0262057554977376,0.144144262623556,4890,-3026.6472387189
0.15797026627717,0.0250716595922568,0.14180663485701,4940,-3026.14966157993
0.418455447150606,0.00952726997923581,0.406855035678001,12790,-3026.78403319202
0.149860548837413,0.026125547707267,0.133766400052436,4612,-3026.92707011625
0.239248220221021,0.0175657723666912,0.223494843027015,7321,-3024.46247672691
0.186744292101807,0.0211692600660011,0.171038074584238,5714,-3024.69179893654
0.215585169308166,0.0179990492890464,0.20062431255076,6541,-3024.3589223327
0.286320527607721,0.0139086000126583,0.272226944638955,8632,-3024.24394344917
0.225354816037694,0.0174388771411065,0.210370662965675,7018,-3024.06666482303
0.276052404132262,0.0144323649957107,0.261764832603145,8355,-3024.12103927816
0.280164582163729,0.0145732027451109,0.265602900763345,8553,-3024.20932373089
0.238357440763191,0.0172305464219624,0.222940922844688,7335,-3024.01260638025
0.275682857199074,0.0150203268015473,0.260831832936821,8396,-3024.34733733534
0.172782094810643,0.023506166309852,0.156438330465921,5324,-3025.23390511294
0.270960468234027,0.0147459218215547,0.256539375789329,8270,-3024.05600480117
0.195061125203643,0.0186227953364388,0.180724700698278,6076,-3027.22866939129
0.14443698808845,0.0265846952986406,0.128572615214705,4513,-3027.80763068813
0.412624115745142,0.00970862024336439,0.400853961622129,12742,-3026.63410009287
0.212469386198661,0.0175885143015557,0.198001920589291,6648,-3025.54981023535
0.373826761550811,0.0109200049656356,0.361067264308652,11268,-3025.84615399701
0.305957654723804,0.0130359976447125,0.29220584119975,9305,-3024.51602091601
0.388933190499193,0.00937552969878386,0.377799795637703,11960,-3028.91044228535
0.380224959752963,0.00974674258179942,0.368753913159003,11616,-3027.88045108896
0.330155307946732,0.0119953230442175,0.316950451270981,10062,-3024.98026130439
0.26469834980276,0.0145902451147167,0.250644369888736,8096,-3024.46484662597
0.301429199693331,0.0131310072903892,0.287697873294737,9322,-3024.50124135867
0.256670954902174,0.0159843910341738,0.241602934442767,8046,-3024.05261054457
0.221461492928374,0.0187208006771927,0.20559895277168,6863,-3024.22715752067
0.177872836121808,0.0230445641611718,0.161461008888246,5401,-3025.08003703328
0.152779736676792,0.0292666124680147,0.134530572186155,4574,-3029.95640755874
0.242273508209167,0.017213152153249,0.226694601594363,7472,-3024.27747566826
0.330089933020083,0.0123276999308521,0.316522390240699,10083,-3024.94898430768
0.192739441908436,0.0219892852722484,0.176029879087592,5987,-3025.27418997733
0.297689494368884,0.0136300567399653,0.2835451953613,9140,-3024.39376725467
0.273599315073368,0.014788849665871,0.259045871466114,8353,-3024.0810281769
0.252759082301185,0.0158508115632452,0.237970282581808,7569,-3023.9155631294
0.251203161351637,0.0166592633609763,0.235735479840286,7601,-3024.38133820287
0.233221652071079,0.0170243884988159,0.218221078141911,7222,-3023.9305503189
0.220819778025892,0.0185977402525386,0.205093300523353,6833,-3024.08542407883
0.243113881983413,0.0173055799898799,0.227414528031636,7360,-3024.49493365505
0.384533226211236,0.0106462551693596,0.371948346568224,11694,-3026.10364790572
0.292626686288835,0.0125876748626563,0.27969022375737,8902,-3026.53022574933
0.239595668365803,0.0166536580524081,0.224633268243592,7329,-3023.89515643743
0.165678028648008,0.0235350722590998,0.149865634145061,5052,-3025.82538157258
0.197086046210709,0.0208623487180746,0.180935481209866,6069,-3024.4765288684
0.18861264998768,0.0209637025582734,0.172932792101444,5706,-3024.62949004602
0.187340172908455,0.0222372445613797,0.170819894776732,5639,-3024.98493984458
0.262404444225115,0.0163405053137717,0.246775172014701,8085,-3025.21274936656
0.203501927402251,0.0190834419635996,0.188331447834552,6295,-3024.51885584712
0.232432051193156,0.0176533466120654,0.216923742868606,7091,-3024.0104335157
0.204598088094705,0.0213943273019606,0.187561634526605,6330,-3026.34041720731
0.25745918140555,0.0156514246658226,0.242670722612321,7892,-3023.93855118225
0.215254759806208,0.0194630619816947,0.199118689725169,6483,-3024.51291064503
0.319819729393162,0.0125256089838393,0.306268261169499,9745,-3024.72944983291
0.329274080523787,0.0125428753888626,0.315488952490983,10012,-3025.10497629299
0.195794236222935,0.0200227420679145,0.180358511071756,5974,-3024.52706139306
