omega,p,omega_nd,N,lp__
0.325846453484194,0.00565510685101578,0.303832767459032,10047,-4570.33946898123
0.35972413007073,0.00510715637311521,0.338782155405496,11087,-4569.85146396408
0.377170297555776,0.00467314400925478,0.357578415752094,11770,-4570.96599698559
0.348066856859545,0.00550719522435472,0.325864183355873,10700,-4570.49591214819
0.340080355730558,0.00551584430625329,0.318104564916199,10577,-4570.11753815727
0.357385064748587,0.00509512623804387,0.336556292103676,11098,-4569.98375978776
0.4324703715044,0.00410028983448041,0.414416790725804,13493,-4571.05132283219
0.342540845797644,0.00553211191354586,0.320419155421572,10723,-4570.25238503665
0.425783256967461,0.00439666472594824,0.40651503927608,13168,-4570.04845894362
0.404089179535603,0.00475766332117067,0.383599532583665,12607,-4570.47479850502
0.381879678702517,0.00497127909267048,0.360940661917953,11703,-4570.02038388585
0.353930394714545,0.0052045227227504,0.332758950413648,11053,-4569.88234731767
0.367171515314086,0.00515283766591601,0.345843283961008,11530,-4569.9788075373
0.400891938065058,0.00473148368177922,0.38057251509599,12448,-4570.05495580075
0.479729382753901,0.00401311450629849,0.461698102496827,15011,-4571.55768677898
0.455825526181689,0.00399126315867881,0.438033636837896,14047,-4570.59202057531
0.434729444029879,0.00439204714546704,0.415369490783796,13460,-4570.54322959453
0.300939674983668,0.00599645174734154,0.278666016980164,9314,-4571.43390319252
0.374625629676908,0.00503121558762909,0.353608789409692,11670,-4569.88242787301
0.494100149526039,0.00362391061615863,0.477777307903819,15423,-4571.73338298038
0.430030983919751,0.00429758600612518,0.411141618785675,13360,-4570.05506686756
0.354916198812581,0.00520695846984109,0.333706445457444,11046,-4569.85885345564
0.341294883120715,0.00525631682143746,0.320300246023252,10639,-4570.53074569349
0.318071081911171,0.00570940404231179,0.296146846600443,9858,-4570.71778886034
0.460610621488271,0.00412521574859159,0.442186698246921,14286,-4570.79668153228
0.476448343932992,0.0039120634727684,0.458885139219782,14619,-4570.79145604497
0.292339297900241,0.00621433546528594,0.269678038142028,9087,-4571.66299680759
0.357061968721546,0.00483660890114135,0.337286696540658,11228,-4572.22562616012
0.382679133904952,0.00471039309626242,0.362812113967247,11962,-4570.1168723417
0.500409050845058,0.00350503083420506,0.4846135652189,15599,-4572.78632969816
0.433542338861124,0.0042650538519543,0.414753675872303,13441,-4570.09646846532
0.350965243994884,0.00514843068585358,0.330104999297187,10798,-4570.20546735695
0.381580637161152,0.00483139955092593,0.361232079896256,11844,-4569.7505625483
0.445909668514044,0.00439983096491614,0.426393001901711,13673,-4571.88507435802
0.315657667947664,0.00565901368998722,0.294017421359207,9910,-4571.23028858746
0.451645172890511,0.00400502910550748,0.43382524600433,14061,-4570.64954494119
0.375540666176028,0.00500641496044674,0.354604265448945,11594,-4569.84204617962
0.418235596228365,0.00471156779727222,0.397706804649362,13021,-4571.80708434562
0.409753285865491,0.00424424697836634,0.391373031060575,12738,-4571.83328149888
0.44024087363319,0.00427165034429744,0.421348786104555,13697,-4570.28230983048
0.326745257204251,0.00586817936467177,0.303881664279088,10043,-4570.88458134779
0.305443968438342,0.0059832410734213,0.283020420312062,9463,-4571.02405792455
0.335029796187825,0.00564151028690696,0.312736353626988,10560,-4570.32574391466
0.31008528214874,0.00604276635405376,0.287241282817377,9531,-4570.84004271496
0.366932650382797,0.00481079728988809,0.347011451318702,11445,-4570.91910514725
0.373253886832981,0.00515160201620724,0.351773835960399,11583,-4570.41873453691
