omega,p,omega_nd,N,lp__
0.441475219699678,0.00982171216294869,0.43176388551753,4577,-914.171827430275
0.252871788204198,0.0168297972480537,0.240261510870402,2544,-913.171349231323
0.273896975012034,0.0154242894092852,0.261706498008776,2859,-913.303725203858
0.161384828941751,0.027004922631349,0.1471080905529,1706,-913.360968549807
0.202778176960039,0.0202439482153619,0.189874327840371,2082,-913.532229652752
0.142636202416447,0.0291308177805932,0.128776617076865,1452,-914.049583157286
0.321429715063139,0.013541526080428,0.309652294671276,3255,-913.352367919314
0.491912095336681,0.00812748389790785,0.483756416059345,4982,-915.469736609925
0.243241100655253,0.0195126368421201,0.229026963631549,2527,-913.356384095477
0.139214016621981,0.035770244491332,0.122653771896786,1431,-914.929181155338
0.343738558404076,0.012083839581192,0.332853400763737,3499,-913.853234252821
0.204190261219792,0.0247388736442895,0.188389638527282,2043,-914.452425887263
0.328270499079677,0.0123289854530619,0.317422963179091,3341,-914.118683202482
0.249851297870413,0.018962926920626,0.235774756373005,2510,-913.350603669119
0.212793664691951,0.0200393451705863,0.199545272876241,2231,-913.121292649235
0.215668609877432,0.0215872725941468,0.201268766054855,2155,-913.152167809805
0.298179552222306,0.0130631848530887,0.287290745858009,3011,-914.676342423413
0.597546528446601,0.00778988990896279,0.590001384999764,5990,-915.467199026024
0.182383863549634,0.0237430401565332,0.168485766204203,1841,-913.159728163978
0.63195475855925,0.00627176919319317,0.626082240980822,6481,-916.698789960206
0.366687035864901,0.0116320998853382,0.355887868933511,3720,-913.747932876474
0.127876927043126,0.0355586967066898,0.11257668468553,1282,-914.18324138331
0.18473012532366,0.0250595496026864,0.169927839992499,1893,-913.228026657299
0.185617591486994,0.0225976358192924,0.172192308102681,1871,-913.362624602703
0.190003123497752,0.0238198230415388,0.175603601707222,1910,-913.07881583033
0.445857961214369,0.00886171377364042,0.437078970415854,4548,-915.355710213507
0.294873111168618,0.0164844884259832,0.281239796087824,3008,-913.879412283892
0.229497053360619,0.0201749166680187,0.215399854899932,2299,-913.106185657281
0.254755605628851,0.0182155322022138,0.241048183973918,2580,-913.167108118025
0.0985344057718368,0.0479360682328451,0.0824051168002102,967,-916.120221750563
0.248047256709316,0.0185625336734365,0.234333367592465,2446,-913.096450866666
0.335955757777307,0.0130366391465668,0.324348523796262,3448,-913.418301346561
0.225681461462832,0.0192518974551305,0.212383564272647,2256,-913.009125077002
0.431344594194559,0.0117145008630642,0.419822529112943,4365,-915.552147304729
0.388548485433358,0.0117591752253938,0.377368392794044,3960,-913.803877146458
0.285893619523142,0.0162144226105981,0.272732793177071,2935,-913.276421040401
0.240582952518685,0.0168409567509091,0.228390155989135,2481,-913.713555784112
0.146722573118389,0.0302369178180466,0.132003973178735,1500,-913.594860782424
0.213428646668014,0.0200690713493797,0.200131348526867,2145,-913.090262988761
0.532131369767275,0.00806377470712505,0.524060649936466,5465,-914.897594366793
0.324678970080848,0.014352301755024,0.31213078625664,3329,-913.522483980663
0.180386597493308,0.0227236636849525,0.167190122041453,1921,-913.665785863406
0.235301273908506,0.0180871232066321,0.222418796770581,2416,-913.135394155492
0.26997897094501,0.0154740340782483,0.257862259390306,2719,-913.397539982905
0.367872812048729,0.0119146420159174,0.356795913762878,3738,-913.61998991208
0.14086092777033,0.0321122440098626,0.125789167150755,1394,-913.764240479684
0.366557343182539,0.0112760725806403,0.3560900990653,3728,-914.061022655842
0.27634261237805,0.015801167360292,0.263785360795833,2872,-913.11377658892
0.309069953266666,0.0148319680695725,0.296453584087331,3113,-913.321575712083
0.257010414484718,0.0162804735099832,0.244673904818298,2680,-913.335774796026
0.232571019147274,0.0176207569308658,0.220120944523809,2359,-913.53437648579
