omega,p,omega_nd,N,lp__
0.362359060652425,0.0206720650793334,0.338590142032273,3723,-1617.5817820729
0.236261050773505,0.0308697457692015,0.209147790860098,2487,-1616.1461050908
0.296256014455979,0.0244346561417846,0.271133094559187,3028,-1616.28732517552
0.243499233809712,0.0282979993397462,0.218040814984121,2530,-1616.36097831318
0.232050404647738,0.0317292330547047,0.204567653371295,2299,-1616.24988599333
0.280483818155597,0.0246037723347688,0.256046303011192,2910,-1616.42937692623
0.313859207067016,0.023313055381269,0.289033264178613,3259,-1616.54639999618
0.345798922947767,0.0223108518458388,0.320739634394361,3512,-1617.87553052306
0.258136995339239,0.0272717136231547,0.232557400572171,2792,-1616.11290490213
0.263207766284923,0.027615726839167,0.236966476027817,2743,-1616.06826670271
0.270074983709224,0.0264872394410351,0.24444469314248,2766,-1616.07734284187
0.230791531428381,0.0320596592278094,0.203141991287122,2340,-1616.30964609649
0.262331739723163,0.0264020684707438,0.237276647752419,2710,-1616.2833447588
0.299818346195538,0.0244024986854886,0.274543997165513,3090,-1616.37035297047
0.193557437638596,0.0388961992466113,0.164458372643943,2008,-1617.43362221636
0.377433849704485,0.0202639293233945,0.353699961702005,3827,-1618.25512371565
0.243381956122409,0.0293402625094212,0.217019088821053,2523,-1616.06923419412
0.242188213454308,0.0298202652073077,0.215499344168049,2486,-1616.07284391077
0.259053330244408,0.0262418674641007,0.234359522183163,2673,-1616.57066553397
0.259993017111913,0.0277359215879275,0.233859694837644,2670,-1616.04197949182
0.287715482110971,0.0249284508775267,0.262555665585769,3034,-1616.19703730115
0.234200069044265,0.0273285810279567,0.210271449538187,2432,-1618.33438951276
0.190562365445706,0.0389698624587911,0.161771246638381,2026,-1617.3597628985
0.196863658909558,0.0371573300209987,0.168634011385916,2098,-1616.96728195141
0.229988176963754,0.0326091077028197,0.201951608057983,2401,-1616.48983592304
0.165251253364939,0.0467718827982599,0.134799953247165,1666,-1619.6821912065
0.18623895217184,0.0385967898170199,0.158231863808881,1880,-1617.33860429039
0.197605685339518,0.0363617148195482,0.169873651441407,2110,-1616.87312058432
0.244896216682047,0.0305443119277065,0.217359083556914,2553,-1616.33638239964
0.253808144722253,0.0301598627389494,0.225914759430415,2695,-1616.73374188979
0.234134762848752,0.0295526732072569,0.208316996040418,2419,-1616.3624150505
0.216791735223321,0.0332884404684111,0.189427095672363,2206,-1616.36836542051
0.312548178770516,0.0249840844505793,0.286030756077992,3123,-1617.6910602131
0.237328079064367,0.0304840653773658,0.210456439749088,2466,-1616.10708942962
0.225941342584293,0.0340604551128376,0.197080468485524,2341,-1617.04876760023
0.237501172260003,0.030934720414537,0.210229115993662,2479,-1616.18406564482
0.309750200276637,0.0236333221428702,0.284780101585994,3238,-1616.49466525564
0.21676006603145,0.0322385223297558,0.19023311481737,2267,-1616.48514529918
0.279757505609962,0.0258605975074583,0.254136878619665,2948,-1616.1371720842
0.382628208734478,0.0190455710082648,0.360186676534398,4003,-1617.70853330965
0.234857787329582,0.0274148357018328,0.210806694335527,2470,-1618.11111261041
0.21616777603235,0.03547651770384,0.187133343554945,2195,-1617.13312745024
0.249443088012095,0.0292322846670378,0.222713121544399,2553,-1616.0786050945
0.250682924470905,0.0325706006522107,0.220881382033416,2511,-1618.94992761587
0.309326635651094,0.0229061717651896,0.285134749051237,3162,-1616.47577883226
0.222965982774808,0.0326150237836769,0.195563223141265,2296,-1616.28559203238
0.29316211909068,0.0248281683920094,0.267805836871101,3062,-1616.27272504134
0.336876663246296,0.0214572248943653,0.313093135064149,3481,-1616.84679385737
0.261817082920192,0.0304880905495236,0.23301612023463,2766,-1617.99985128237
0.196788691471494,0.0350978140023919,0.170070171270428,2023,-1617.13114780164
0.408902434031757,0.0192792130925394,0.385600877754497,4217,-1619.75520879886
0.347880515966503,0.0199945958092029,0.32533635195743,3570,-1617.23133518828
0.356601919038352,0.0200624629139616,0.333704859015432,3663,-1617.19061157806
0.252359297723441,0.0315321825790189,0.223346697131833,2596,-1617.87812667385
0.20838537459373,0.0344785372647824,0.180920965398,2145,-1616.5499884827
0.227271273975951,0.0326538848498078,0.199443150582123,2315,-1616.38426482032
0.259661026695926,0.0251600311718065,0.235927000508504,2785,-1617.58107920446
0.30772120698218,0.023706679136935,0.282771450090424,3117,-1616.44932678044
0.32442666126358,0.0212106913574708,0.301388099052436,3341,-1616.99287200829
0.327521110792065,0.0221872784433866,0.303306062202481,3359,-1616.71174113609
0.234095898111042,0.0302358437537541,0.207701215488145,2404,-1616.16214566781
0.368253062113582,0.0200638943406394,0.345007401001768,3846,-1617.52689136055
0.272999472944285,0.023521159436753,0.25002699403145,2807,-1618.24495563538
0.310242070552233,0.0238041388157444,0.285070377389689,3268,-1616.56925975234
0.27594200330136,0.0246499193215749,0.251717178376487,2860,-1616.63539341266
0.220800475396409,0.0336815803916175,0.192737919957518,2386,-1616.50567059467
0.238146649671655,0.0300791499180491,0.211556029396928,2468,-1616.09426441684
0.30989769521534,0.022512243718813,0.286091075704249,3191,-1616.60710320632
0.265989502238473,0.0237977423064034,0.24314864637998,2754,-1618.77079983841
0.295612046352946,0.0250342128910689,0.269916584950829,3109,-1616.41628646551
0.327581890311522,0.0226196547356899,0.302897228260244,3375,-1616.84976638125
0.333663597682903,0.023108787760047,0.308197165399549,3429,-1617.65683402982
0.310954290135827,0.0233416601340961,0.286232340144879,3160,-1616.47060349311
0.291746518952552,0.0257439235568347,0.265549331040337,2959,-1616.56583451857
0.196722664503746,0.0380896517559772,0.167831392406545,1924,-1617.23646931538
0.21616777603235,0.03547651770384,0.187133343554945,2230,-1617.13312745024
0.219541715218963,0.0333208183200278,0.191889044780541,2287,-1616.3739722792
0.204364770752272,0.0345525490084839,0.177255666932658,2097,-1616.69912818205
0.260193928636252,0.0262949428070827,0.235376888055534,2659,-1616.45868388666
0.200904373139481,0.0347956023418792,0.173972830179866,2124,-1616.87087384501
0.187128283056417,0.0405143330936935,0.157683174086055,1985,-1617.84174577485
0.226269970169313,0.0324156454888974,0.198728938080579,2398,-1616.2880229314
0.171157263415321,0.0416687071559524,0.143041297126456,1805,-1618.20470384555
0.261322714555709,0.027634497467394,0.235192002557244,2726,-1616.04632856415
0.269230408161525,0.0254033936713965,0.244680267485126,2808,-1616.49743621599
0.310053760025616,0.0228309631159145,0.285907105147794,3198,-1616.49042237117
0.302578127198228,0.0238123875788314,0.277769359508919,3137,-1616.35211329401
0.227429659049526,0.0295853190311364,0.202128967438868,2354,-1616.90794078422
0.274350519764133,0.0271923352576057,0.247776757718319,2804,-1616.33349617768
0.351362395206518,0.0192203771137233,0.329578188187792,3687,-1617.79249682235
0.30823246543135,0.0226451095938357,0.28436269771618,3141,-1616.58014454863
0.205422799286643,0.0389766337784366,0.174866460647143,2114,-1618.72925245143
0.302822475006116,0.0232414448840004,0.278588833814699,3191,-1616.43784016893
0.316464303156658,0.022265632464099,0.292627961891484,3267,-1616.60728630288
0.200573255176042,0.033903248332752,0.174340550977727,2100,-1617.24036461626
0.258428612917642,0.0303031747756974,0.230053175700715,2751,-1617.3384912457
0.237291711020674,0.0285769117462904,0.212060230594706,2488,-1616.66187444685
