omega,p,omega_nd,N,lp__
0.230117352659128,0.0157675004725479,0.216341639431843,2410,-930.168949193436
0.288834380348906,0.0122988741925428,0.276292433139789,2906,-930.022993727457
0.348648151785811,0.0108096643469554,0.336411016054735,3566,-930.151373077286
0.629693098546396,0.00573747070141262,0.622959867430235,6427,-931.295636248239
0.280802991960121,0.0124240583462466,0.268353681750734,2850,-930.131825537012
0.407476003937747,0.00965794165539036,0.39581494615186,4133,-930.794229086377
0.276482946588047,0.0124656709327596,0.264113867423145,2810,-930.23747790944
0.466293972354524,0.00805785981257134,0.456241882202887,4742,-930.547535693133
0.360124879126528,0.00994076092868701,0.348696306084085,3563,-930.080058955992
0.458284132179227,0.00817855966503778,0.448109210616157,4700,-930.497590670768
0.274861609322525,0.0134880493571681,0.261537241238764,2748,-930.028467533578
0.306514880751722,0.0128644878460593,0.292928500686785,3059,-930.586550479529
0.125857648961177,0.0265835694981441,0.111767943148072,1319,-933.101177411197
0.559127858483681,0.00709425913309958,0.550335304743169,5733,-931.62117875352
0.264672510555316,0.0144882791359017,0.250716610989446,2658,-930.276411937757
0.522681412017259,0.00700496703218789,0.513906380414771,5289,-930.718978310548
0.646588707300114,0.0051811258815383,0.640631230666466,6608,-931.988543342637
0.393962655124977,0.00909253095618712,0.383112949894463,3975,-930.179125571892
0.380532481759497,0.0100273675532726,0.368727757372168,3747,-930.333010304235
0.466198882175063,0.00714411006104509,0.457289400678095,4701,-931.12611058192
0.202378336353329,0.0181564831100843,0.187991790612825,2006,-930.436416069371
0.485233738097429,0.00842806519677053,0.474671414310297,4962,-931.851567720718
0.530467656446041,0.00643181178300756,0.522424665739139,5457,-931.114053376773
0.297068699295199,0.0128444587426475,0.28375033490381,3033,-930.188822890082
0.211961295440281,0.0171992211042953,0.197833925087425,2171,-930.319986405008
0.214758376933728,0.0174986666256736,0.200247885987681,2223,-930.394892518255
0.576498379161477,0.00660051095053071,0.568394374954409,5930,-931.189486717647
0.318491166771295,0.0119737709905701,0.305563175468484,3190,-930.193701323207
0.43037111446469,0.00782701311776157,0.420766847933439,4359,-930.810150623436
0.505898881147322,0.00653456976273725,0.497704154073239,5126,-931.431932638788
0.306964262157919,0.0121737288088871,0.294091970781643,3154,-930.044514963306
0.291477148738809,0.0109921055642401,0.280196820421106,2962,-931.345722020295
0.367217737013453,0.0088214047080637,0.356985033091669,3807,-931.237442505381
0.249876430919496,0.0140287624089683,0.236870907249087,2556,-930.176712878502
0.161121233271475,0.024183483199304,0.145254965024981,1596,-931.646223384541
0.125387962630136,0.0259014620099134,0.111691168147756,1279,-933.576651859191
0.596117311729534,0.00713245811546759,0.587471621382983,6116,-933.480814362748
0.174383077723937,0.0200337272584755,0.160291330632266,1802,-931.000596429972
0.639450696367157,0.00614152969574977,0.632319041241234,6485,-931.914118034735
0.228614035643032,0.0149812110692887,0.215577633096935,2381,-930.481193633015
0.355944556401793,0.0110020423387418,0.343367116784784,3627,-930.562626918494
0.164187893790141,0.0209067155949996,0.150199890454484,1719,-931.372518124415
0.234142799235277,0.0173792035462139,0.218791215644234,2352,-931.32206324223
0.206878076803114,0.0184830755226771,0.191990573569531,2134,-930.609098075567
0.32725037957483,0.0108975941262154,0.315304645797392,3273,-930.026013092935
0.657275335099986,0.00640415089852209,0.650002883735408,6644,-933.537834827617
0.343612167871351,0.0106682047247556,0.331620294701143,3528,-930.027828493088
0.14754864251485,0.0228510741081487,0.133595040520663,1459,-932.056456072498
0.807017203522729,0.00436395125621258,0.803588667134042,8215,-932.578117311183
0.278503170139251,0.0124926884625562,0.266050236752744,2839,-930.154833178953
0.177145749073814,0.0239886374749123,0.160136673936201,1848,-933.087887876924
0.520325177957572,0.00679021400912416,0.511817467829912,5257,-930.776002590571
0.388724070086914,0.00942334328397876,0.377536246043016,3959,-930.147624265014
0.221397665167177,0.0174752720859352,0.206576094784112,2246,-930.591440361706
0.342831527192132,0.0100848748649146,0.331505976223067,3415,-930.242746986619
0.573804308534199,0.00663326035818168,0.565647090824413,5821,-931.177203526689
0.466899607343015,0.00797846299338723,0.456944941635891,4734,-930.504424107563
0.237671306936593,0.0150819569555594,0.224179624296962,2426,-930.138354172956
0.348925732637987,0.0114188366993034,0.335996365625815,3547,-930.816214060716
0.29441634202528,0.0119267913842876,0.282109272568725,3048,-930.079180130685
0.620150290384327,0.0056576836208666,0.613445233428391,6342,-931.351121647396
0.415074318499338,0.0071788855613738,0.406355779894327,4299,-933.610472152252
0.19768253254679,0.0183855116565451,0.183378238568692,2001,-930.483867606426
0.469270829665209,0.0081066541034388,0.459148702022781,4756,-930.651543149283
0.357223723577434,0.00967196914983115,0.346144582499965,3610,-930.281321651251
0.368151242048443,0.0109037490044215,0.355494317717594,3812,-931.000732375332
0.44166251285218,0.00767109145399303,0.432190164634702,4535,-930.782161585242
0.312920269907788,0.0114240017262113,0.300703374705953,3123,-930.002930363873
0.536325508578694,0.00739131236127899,0.527089615190481,5500,-931.491497098434
0.17850534163181,0.0240860933370011,0.161323763121434,1878,-933.419450168083
0.754919842496749,0.00490013787662602,0.75034728419868,7685,-932.119658847703
0.343523926175934,0.0100089594742108,0.332272128756269,3582,-930.295716717374
0.291319722020191,0.0140543167705078,0.276927614805094,3018,-931.296136299575
0.686079584618767,0.00559580376256219,0.68000538274109,7001,-931.912853435067
0.498424533936488,0.00796652077265958,0.488428566436489,5083,-931.329728785624
0.545237869352971,0.0066097871947014,0.537004470681582,5639,-930.835775793592
0.749736716246991,0.00437184237975285,0.745603800258909,7701,-933.008853283102
0.283642337669541,0.0130644938207637,0.270474119855254,2924,-930.014891436829
0.511100713763818,0.00683951121322035,0.502523756894428,5243,-930.795251527793
0.245393821517072,0.0152952954917385,0.231404241350249,2499,-930.177357755233
