"","x"
"1",16562
"2",10234
"3",20782
"4",12403
"5",11423
"6",36450
"7",42754
"8",20680
"9",16637
"10",14947
"11",14252
"12",38013
"13",12799
"14",12225
"15",15603
"16",16921
"17",13157
"18",16029
"19",15402
"20",32798
"21",16874
"22",11507
"23",14615
"24",15025
"25",21477
"26",20310
"27",24560
"28",13039
"29",14411
"30",18926
"31",15140
"32",20710
"33",10275
"34",16358
"35",9523
"36",14364
"37",16814
"38",16474
"39",20114
"40",19412
"41",11736
"42",14782
"43",14381
"44",15040
"45",20013
"46",14113
"47",15746
"48",14344
"49",35106
"50",12262
"51",25718
"52",18620
"53",21341
"54",10073
"55",27982
"56",23692
"57",19476
"58",16270
"59",16881
"60",15535
"61",19868
"62",20476
"63",13473
"64",14387
"65",46042
"66",23647
"67",38166
"68",22094
"69",28369
"70",21999
"71",14450
"72",16530
"73",8417
"74",33749
"75",15708
"76",20158
"77",17753
"78",23167
"79",26831
"80",26216
"81",18000
"82",18089
"83",23884
"84",20475
"85",16972
"86",26403
"87",28495
"88",15496
"89",18098
"90",21767
"91",9660
"92",17904
"93",19380
"94",9969
"95",16987
"96",9573
"97",41935
"98",16429
"99",13037
"100",20009
"101",15485
"102",16024
"103",15685
"104",27322
"105",8728
"106",24284
"107",20431
"108",15172
"109",18191
"110",16939
"111",15561
"112",26431
"113",22432
"114",15967
"115",13078
"116",11008
"117",19837
"118",29495
"119",31675
"120",20812
"121",11729
"122",10626
"123",22948
"124",12483
"125",29366
"126",8745
"127",18293
"128",20840
"129",7007
"130",10152
"131",14215
"132",14806
"133",10942
"134",33306
"135",21695
"136",27337
"137",23623
"138",12306
"139",20441
"140",13598
"141",13095
"142",22199
"143",14002
"144",24908
"145",20085
"146",25639
"147",15106
"148",11879
"149",27142
"150",16291
"151",17280
"152",19412
"153",15348
"154",23036
"155",32123
"156",11617
"157",22028
"158",11351
"159",13073
"160",15277
"161",14875
"162",20058
"163",18068
"164",17100
"165",14369
"166",26517
"167",21955
"168",18542
"169",19569
"170",17418
"171",31777
"172",13179
"173",19879
"174",15681
"175",19313
"176",12696
"177",14865
"178",30348
"179",11977
"180",19365
