"","x"
"1",5852
"2",2297
"3",11329
"4",1740
"5",4192
"6",27955
"7",33430
"8",7444
"9",7755
"10",6073
"11",5239
"12",30571
"13",5429
"14",892
"15",8706
"16",5650
"17",1015
"18",3578
"19",7141
"20",18946
"21",8114
"22",2831
"23",5239
"24",8023
"25",14995
"26",11873
"27",13742
"28",5440
"29",4919
"30",10138
"31",7121
"32",12094
"33",1089
"34",6971
"35",1626
"36",7671
"37",4979
"38",10905
"39",8536
"40",7563
"41",2310
"42",8947
"43",7060
"44",7676
"45",9840
"46",3779
"47",5428
"48",6532
"49",21012
"50",4720
"51",17294
"52",8168
"53",11296
"54",2450
"55",19367
"56",11933
"57",7296
"58",6884
"59",8687
"60",6904
"61",7151
"62",11088
"63",6884
"64",4481
"65",36995
"66",13044
"67",28528
"68",13831
"69",17293
"70",16057
"71",1794
"72",3741
"73",537
"74",20046
"75",3650
"76",8023
"77",5098
"78",15793
"79",16833
"80",17779
"81",9225
"82",3446
"83",9298
"84",13445
"85",10466
"86",13992
"87",11317
"88",5175
"89",11508
"90",10526
"91",1557
"92",10987
"93",8747
"94",3142
"95",3550
"96",933
"97",29014
"98",4622
"99",4719
"100",7873
"101",5496
"102",2199
"103",6174
"104",19162
"105",1200
"106",11395
"107",13988
"108",8274
"109",7188
"110",6422
"111",8531
"112",17826
"113",12030
"114",6184
"115",3578
"116",4008
"117",9635
"118",14821
"119",19712
"120",7794
"121",4379
"122",4821
"123",12475
"124",856
"125",18042
"126",1378
"127",10726
"128",8513
"129",473
"130",1629
"131",5391
"132",1655
"133",2052
"134",17847
"135",11469
"136",12885
"137",10090
"138",4299
"139",5488
"140",6971
"141",3699
"142",13007
"143",4106
"144",19284
"145",9527
"146",17523
"147",4980
"148",3229
"149",17895
"150",2361
"151",6879
"152",7398
"153",3226
"154",12609
"155",19971
"156",5342
"157",13074
"158",1531
"159",5596
"160",2470
"161",2656
"162",12952
"163",10016
"164",6460
"165",6933
"166",19596
"167",9451
"168",6606
"169",6902
"170",10189
"171",20701
"172",6469
"173",7041
"174",7762
"175",8657
"176",2850
"177",4875
"178",14181
"179",5976
"180",10471
"181",36099
"182",1454
"183",8509
"184",3890
"185",10955
"186",6234
"187",14953
"188",8949
"189",6428
"190",9192
"191",6815
"192",11809
"193",8223
"194",25872
"195",5298
"196",8556
"197",10134
"198",8676
"199",10811
"200",8498
"201",10564
"202",6640
"203",5967
"204",6710
"205",15547
"206",4851
"207",4507
"208",10549
"209",10714
"210",14651
"211",9297
"212",6662
"213",18329
"214",1523
"215",8094
"216",1907
"217",13491
"218",5379
"219",12131
"220",20543
"221",8421
"222",3935
"223",3939
"224",2512
"225",6509
"226",10466
"227",10366
"228",8831
"229",8468
"230",3728
"231",7086
"232",12380
"233",6569
"234",19929
"235",6833
"236",4749
"237",2854
"238",1995
"239",8388
"240",7947
"241",25024
"242",3732
"243",11730
"244",576
"245",12439
"246",11506
"247",1797
"248",6023
"249",4463
"250",11877
"251",20049
"252",4591
"253",4330
"254",2689
"255",8759
"256",9862
"257",12208
"258",8917
"259",3511
"260",3841
"261",13073
"262",10027
"263",8706
