omega,p,omega_nd,N,lp__
0.43667140310485,0.0113693464916403,0.406015635981885,4642,-2092.01633080966
0.408948907763406,0.0107426787389311,0.380572017556602,4347,-2089.37852927132
0.340224906429318,0.013755134924072,0.306900735825423,3509,-2090.26100186659
0.370695783147096,0.0116241621892178,0.341223235218234,3907,-2089.76224279909
0.38787316239454,0.0116354743016277,0.357782497013707,4094,-2089.3232191595
0.302587890797227,0.0143636443027607,0.270093053303685,3261,-2090.93617560912
0.36179258698616,0.0126316074079991,0.330168080615406,3739,-2089.58512702452
0.369489891636718,0.0124567544855981,0.337984105314681,3901,-2089.59583941243
0.408581200757276,0.0110915454095959,0.379299537316857,4253,-2089.3141271005
0.398803289877678,0.0111923392377663,0.369522976778652,4227,-2089.28851880108
0.702204733678399,0.00646051180246376,0.687084177415213,7387,-2093.386650367
0.325385730835183,0.0133936924731607,0.29370525643218,3400,-2090.24858952203
0.550009772322959,0.00773250165532524,0.528798616213803,5872,-2091.30644907906
0.471178812345065,0.00981634706353962,0.444251259447546,4976,-2089.87027386238
0.273704056359927,0.0156384929479106,0.240618272917149,2921,-2092.45129286038
0.512577600399083,0.00827916969723375,0.48971921455795,5379,-2090.83106211901
0.363053128454149,0.0119593121958834,0.333036669294644,3907,-2089.70117681143
0.384535380172524,0.0124690174527994,0.352432676152701,3978,-2090.46383034169
0.409934534109541,0.0112105623417837,0.38030623159179,4317,-2089.44063773668
0.346997664965647,0.0137664292097081,0.313298052059468,3633,-2090.69851527185
0.71632123189533,0.00614949449276303,0.702333144329784,7490,-2093.71244713634
0.391615364453859,0.0114310131602569,0.361931077948212,4082,-2089.29874959419
0.40358895057517,0.0104758840618633,0.376043514366252,4237,-2090.08988416231
0.35351965110664,0.0123688716847805,0.322892683539723,3730,-2089.71466383792
0.481952548722356,0.0092480673775458,0.456504408264863,4999,-2089.74145723779
0.499273960011004,0.00879571096823517,0.474999615795754,5266,-2090.03252837295
0.449029297911981,0.010424956295361,0.420707444043573,4780,-2089.91429784454
0.407267811714991,0.0115559932484864,0.376805905954223,4257,-2089.8778021935
0.481162721033661,0.00960986558585875,0.454723238743207,4999,-2089.96419860419
0.622478350461871,0.00698806838463817,0.604187111264063,6519,-2092.06038003264
0.316083771755078,0.0136529070769226,0.284337907028426,3392,-2090.62604962084
0.340783977219244,0.013639877159543,0.307704323321426,3606,-2090.11565434175
0.464314307280385,0.0103361347819548,0.436033680057451,4842,-2090.73703751373
0.302079176573335,0.015707903059497,0.266671757297984,3133,-2091.61738993052
0.460498378268425,0.00936391257771096,0.434915189245285,4968,-2089.8993480496
0.404137520743137,0.0116264298626797,0.37357864735322,4268,-2089.83808995382
0.537451874316528,0.00760095592635734,0.516533649383122,5638,-2092.53656251977
0.503108425673557,0.00843816112715501,0.479816039288439,5266,-2090.70059582845
0.468581133720319,0.00995189892369719,0.4413067106937,4905,-2089.99167527621
0.455080567792096,0.00987761735732551,0.428161181496459,4777,-2089.49113778669
0.446293865813545,0.00978914728062685,0.419733471637089,4657,-2089.58758460201
0.360799319227015,0.0130106081329024,0.328284909512703,3795,-2090.03742178904
0.399691819325143,0.0113107235149043,0.37007937780683,4220,-2089.30344834503
0.389684783954924,0.0107876111532758,0.361710951692158,4136,-2090.26983912326
0.49375206159624,0.0095797138372804,0.46732715111383,5103,-2090.58684355114
0.416653302688185,0.0110644994967997,0.387243235658613,4432,-2089.49228864589
0.486812302959503,0.00922631732514789,0.461396081397097,5166,-2089.78572218728
0.408190987872412,0.0104526245756429,0.380592812332659,4311,-2089.86053450827
0.410746440858417,0.0101843384232546,0.383792295592212,4245,-2090.41733898809
0.631478007208693,0.00687465300840451,0.613649850446562,6718,-2092.25519062138
0.393947365861485,0.01196888101091,0.362807028042995,4161,-2089.93603674089
0.396356267986771,0.0107626117502589,0.368257110621231,4176,-2089.86601693
0.653112534910444,0.00653827561540665,0.636589471653036,6958,-2092.9890887178
0.421959232622101,0.0106185769393047,0.39360956050994,4377,-2089.30876189449
0.392137058206366,0.0114156602255266,0.362476261998751,4123,-2089.29740075319
0.458335336251364,0.00946433219189169,0.432502200779814,4820,-2089.77788479409
0.388620539896285,0.0111484143421648,0.359753154721407,4078,-2089.57701016227
0.350041765663331,0.0137315637126038,0.316273750781256,3620,-2090.86104724065
0.470658683199201,0.00893828362274285,0.44614388149392,4958,-2090.60062473298
0.369925182400997,0.011328003671777,0.341221172903154,3914,-2090.45971057356
0.327964552271093,0.0142695843833063,0.294110809542441,3488,-2090.510487452
0.52487340470506,0.00901805660303889,0.499981798802987,5525,-2091.00190646216
