omega,p,omega_nd,N,lp__
0.412791544430942,0.0102800198059476,0.38309410304621,2195,-1099.77490586484
0.660976971581356,0.0064919693814659,0.643248890191771,3489,-1100.57457327051
0.427998289185763,0.00977866782363446,0.399405141775669,2304,-1099.84294874639
0.509802999598725,0.00924547028501244,0.481946682662416,2711,-1100.38844902793
0.738175215364975,0.00546867405608131,0.725259302041531,3918,-1102.07851458721
0.492994416842659,0.00973657395555749,0.463705057210883,2608,-1100.76787676535
0.280945318006531,0.0159836827326706,0.243583758317706,1502,-1102.12942176997
0.602342456732534,0.00650876570107783,0.583431096758087,3168,-1101.63302994034
0.411663341890074,0.0107026143221327,0.380785140640337,2230,-1099.68143498732
0.496194091565611,0.00881730115142421,0.469662119915061,2568,-1099.5864439965
0.298958607796991,0.0137764124622433,0.265275233288962,1513,-1101.7697165045
0.464705923964176,0.00921748265002875,0.437199843530091,2471,-1099.60267816944
0.34491739427134,0.0129515987518195,0.310476874506862,1816,-1100.41847456992
0.290002287560705,0.0147670956825225,0.254662212188456,1561,-1101.70824239381
0.400623699512542,0.0103606037632851,0.371020157552817,2121,-1100.06686308556
0.483264753804033,0.00909261824200669,0.455970216992304,2554,-1099.56669986079
0.415214804906579,0.0110596611614441,0.38321982724928,2134,-1099.98246891663
0.435612576235705,0.00967708430636427,0.407169680642731,2267,-1099.74969005052
0.560294489818715,0.0080371187109205,0.536316490672685,2927,-1099.95015916495
0.362208870551405,0.0128035645537781,0.327299478997422,1921,-1100.57518728074
0.499766541300264,0.00911526220223313,0.472323678128545,2622,-1099.82173236671
0.546389599353112,0.00781467713351791,0.522971100677695,2853,-1099.83813318768
0.623907400191545,0.00692411411980409,0.604150250356228,3349,-1100.25741497389
0.441204699157363,0.00916391353532586,0.414171194215773,2346,-1100.34213406606
0.525828988987268,0.00813371740536539,0.501351068179572,2856,-1099.73987927298
0.506983751656201,0.00902248724130406,0.479804889403989,2689,-1099.88851772333
0.343884897943158,0.0118383983034013,0.312396834247515,1831,-1100.9584972593
0.482305454007944,0.00924084501654443,0.454572262627221,2530,-1099.61169070826
0.520952455134616,0.0087883656536889,0.494483322971315,2759,-1099.94417157086
0.533155989232475,0.00842971855372676,0.507807733127708,2791,-1099.80688372036
0.397125768607337,0.0109592532597599,0.365935741592029,2109,-1099.76068033945
0.616004101672085,0.00736892302629544,0.594805499140308,3265,-1100.37106130569
0.705895638033605,0.00630942415994606,0.689884583895182,3705,-1100.9671830508
0.409819086648813,0.0109760748859812,0.37820963045195,2177,-1099.79368224088
0.353676530771996,0.0140476685581252,0.315898656325033,1862,-1102.43913712912
0.646437572308533,0.00613985376233839,0.629369099986778,3446,-1101.6379137163
0.472375062724303,0.00847942001687396,0.447000029227968,2469,-1100.52963137037
0.31316378835514,0.0147624756397761,0.27611005829949,1635,-1101.44474240637
0.359352107348586,0.0117765825189889,0.327319218517709,1934,-1100.25317497013
0.593127873761837,0.00722087058523124,0.571982975820108,3053,-1100.08319340661
0.362416507732748,0.0133993201250719,0.325903944901232,1849,-1101.59465910758
0.429315395839203,0.00998833697322199,0.400085823284722,2249,-1099.64607871265
0.526859064139225,0.00835069809447164,0.501727655737046,2799,-1099.68515246956
0.410665153669385,0.0106870230768255,0.379858037976083,2195,-1099.67992530133
0.505024928692549,0.00804405800912666,0.480804778364725,2629,-1100.30514037266
0.504425997379585,0.0084350614441967,0.479025914632509,2590,-1099.70287999336
0.409704409660793,0.0107243070698341,0.37881659953892,2165,-1099.68653502786
0.458831194686754,0.00969378585219893,0.429977782977112,2420,-1099.59081657456
0.427778993901131,0.0096876007276514,0.399454973673646,2263,-1099.96439268001
0.736394376439926,0.00548217353125635,0.723390937099631,3874,-1102.05962831106
0.460172294498889,0.00900992896688524,0.43333474978456,2424,-1099.90925074946
0.383935107958542,0.0101427761821684,0.355439524798552,2025,-1101.49658875357
0.514203408048709,0.00854683108362009,0.488458586747315,2707,-1099.63885308531
0.41377882238351,0.0109496043120046,0.382137493137547,2183,-1099.83562777138
0.350598716381894,0.013203158994713,0.315203841008691,1890,-1100.71005792496
0.736450738456716,0.00584441878257613,0.722573532842755,3866,-1101.24810857801
0.377808177005812,0.0116430448483158,0.345382609249884,1992,-1099.92800059696
0.391682386685306,0.0112986782605474,0.359714897992709,2092,-1099.82179034748
0.370898934236063,0.0102792768692894,0.342459717288874,1992,-1102.25568609473
