omega,p,omega_nd,N,lp__
0.0907398647193081,0.0347455805029364,0.0699444493965191,55,-98.8101558619379
0.0975030090520017,0.0748755760956821,0.0547900521771092,39,-96.0200280860373
0.0936977238966588,0.0957671299084843,0.0441652902699577,37,-97.1378350619187
0.0809351305999348,0.0563518407214855,0.0524646870947967,43,-96.0756401492713
0.0690437582327821,0.0874888849210546,0.0344259586087919,30,-95.6194890555045
0.0916005422794177,0.0565402939035511,0.0595322040018837,40,-95.7724040400778
0.0720540970100723,0.0501745524333647,0.0489218244490846,49,-97.3226072236914
0.0678690512131361,0.0927957357851232,0.0323269087948898,35,-95.6977692866022
0.0629359340132752,0.102489495117215,0.0275001624229128,31,-95.9009009013745
0.0822995839291674,0.109810872331031,0.0341556185362269,41,-97.1750995287414
0.120223849935889,0.0656972271233555,0.0735121739408693,66,-96.7454830612199
0.101490268495483,0.0505551507548461,0.0694093895367832,48,-95.943548577094
0.0637384713709575,0.0906120712067837,0.0308592110301655,33,-95.7116252575845
0.0621888517176598,0.0762106477389042,0.0339757303905927,39,-95.9774381013241
0.108033627881325,0.0624466480736398,0.0674309681671172,49,-95.947876617907
0.116594657638506,0.0610429519337065,0.073852405101056,36,-96.2390385334297
0.065309834037841,0.0873740833095371,0.0325304878374796,35,-95.6671610825281
0.0433949189440217,0.110594110752689,0.0174525834339452,28,-97.0439589847662
0.0714093129839546,0.0981906531735824,0.0325446292929461,25,-95.8970016740121
0.0580716076997152,0.0970983793407485,0.0265094764281459,35,-95.9106058415454
0.0788022569342709,0.118934290549167,0.0301277512162248,33,-97.5166477134458
0.148312423061353,0.0475461593670963,0.105494915857991,76,-96.8604158778588
0.0590116364837933,0.0868062881638972,0.0294361373819813,27,-95.906598719829
0.0478942660138015,0.0809119884472908,0.0249730603543091,35,-97.1848588468977
0.114708930637375,0.0579721549995288,0.0743796234503765,53,-96.0362497465081
0.0442610049189553,0.0804430438511849,0.0231285524517918,31,-97.7978633463531
0.0465789280130805,0.0827021844348945,0.0239045141711556,29,-97.2826099141909
0.0646698059659139,0.0693999635116043,0.0374344485888212,43,-96.1185319901797
0.126441686928579,0.0312915944578587,0.10091248325737,76,-97.7196051408849
0.0455595996584162,0.086232957375188,0.0226753427922871,27,-97.2640574881498
0.0905735040176715,0.0432329221450257,0.0653622041876902,57,-97.0430175357669
0.0764130758343624,0.0605817128714454,0.0477855673216288,37,-95.9830523341567
0.0823537635859053,0.0578303907803207,0.0527825750504739,49,-95.9213579824545
0.144411766808284,0.0333964855278691,0.113965957920125,70,-96.9988082834871
0.0759085932274136,0.0808474263113335,0.0401672799028909,38,-95.554674348264
0.107456546851215,0.0600070232260609,0.0683668125633893,52,-95.8629789902059
0.0421514339901509,0.0811087980205842,0.0218786729176075,27,-98.1509901994838
0.0536634096680357,0.127208067405774,0.0187371602018597,24,-96.7029221378033
0.0799751558219599,0.0542095067422956,0.052722076916358,39,-96.2970281763034
0.0743544784972707,0.0592434109580406,0.0469665564332986,45,-96.1788138356658
0.102468027909809,0.0721455267245908,0.0590147015303523,54,-96.1323165530675
0.117244434829812,0.0533484721406594,0.0789004474230497,55,-96.0072385035143
0.0697571391644919,0.0804476394434591,0.0369203844816155,41,-95.5908340959521
0.0813555693024482,0.0832043132350407,0.0423288750253076,33,-95.6961106209339
0.0809474413177953,0.0725142182933843,0.0460112584347973,45,-95.5289294775301
0.0957295552683617,0.0473727224443682,0.0669911699309344,43,-96.3017665660457
0.130069407708558,0.0357791540019031,0.100487052949757,58,-96.8536741917321
0.0724414710668942,0.0721359629307007,0.041141052813928,31,-95.6446551860613
0.112683796203898,0.0665394213147487,0.0682130597759097,54,-96.3565749725303
0.105000716117289,0.0602518415903742,0.066607874088667,46,-95.8028201755363
0.0563817427200101,0.0867466526917426,0.028099220501023,28,-96.0713272752584
0.0724682656549551,0.0736371936473462,0.0406486080237368,44,-95.6120304745095
0.0694439321827137,0.0789752631647036,0.0372045573463715,35,-95.6082608350752
0.0709714130431109,0.0895894788601664,0.0347992720381622,34,-95.653137855656
0.0801421244501135,0.0604892550403072,0.0502310326230449,45,-95.8435664377798
0.0952970721853291,0.0605673300067118,0.060061773086365,47,-95.6525764053974
0.107843490024724,0.05510146137501,0.0713335838618974,45,-95.8289668482278
0.0894746972686926,0.0556625123296431,0.0585114808876415,44,-95.8519128780831
0.190860051948116,0.0297912252734769,0.15625204583656,90,-97.5014426732234
0.113447410595104,0.0385507020931872,0.0854493819214523,76,-96.819339081945
0.0570778843020915,0.116085658022895,0.0220590160575105,30,-96.2973268458196
0.106260920680672,0.0937442050188259,0.0513202574722878,46,-98.2235489917864
0.101981865041282,0.0474910723878738,0.0714489831029364,43,-96.1363267182703
