"","x"
"1",14431.1566144547
"2",13178.2041743821
"3",11515.5468571596
"4",9835.39263055561
"5",16660.4008832379
"6",10129.6125916227
"7",7450.98353529712
"8",10578.36873207
"9",11943.4501602034
"10",16997.7528966055
"11",19905.250624699
"12",12846.2520980319
"13",19745.0233141872
"14",12604.3003530488
"15",10339.0590314622
"16",13003.7289430184
"17",11451.8297217267
"18",10786.7622004892
"19",11006.5330827112
"20",8029.48564355192
"21",14807.1011791437
"22",9785.81957556515
"23",15952.462176632
"24",10227.5089052911
"25",14250.1530864273
"26",11514.8073749815
"27",10932.1446847207
"28",12566.3941617799
"29",17303.2017689828
"30",25743.728397969
"31",12062.2715745081
"32",13096.4410925361
"33",24013.1856316407
"34",20223.5855696693
"35",12390.638868584
"36",17838.1074702296
"37",11901.1469365364
"38",12649.0479194886
"39",11368.2791967248
"40",16638.0722696174
"41",12128.2763347709
"42",9171.38428731974
"43",11883.0052052709
"44",10501.7600293511
"45",14295.3359824539
"46",15613.421362227
"47",15779.9679128194
"48",14565.5332291454
"49",14656.1018127329
"50",15008.1346844945
"51",11073.5368800345
"52",10592.4770647669
"53",13078.5644932206
"54",10567.1823355066
"55",9239.28888818601
"56",14063.3090791704
"57",11997.99921875
"58",14442.7410435712
"59",11934.2970904467
"60",15019.648869162
"61",11541.7959153867
"62",16889.3480444097
"63",11110.6822056665
"64",16397.7591376354
"65",11898.365527145
"66",10632.0246918945
"67",17741.8093289314
"68",11140.5765372739
"69",12378.4792957955
"70",12917.5652097559
"71",12949.5317540249
"72",12540.1971005906
"73",20541.0380291152
"74",37136.4912469163
"75",13953.893021531
"76",11816.5419179814
"77",13592.3049379821
"78",16960.8662828029
"79",13903.8540230459
"80",18751.4846308108
"81",14053.3846719291
"82",17748.9761747384
"83",11831.7744785844
"84",12192.3109010281
"85",15347.3355100452
"86",10330.0370959845
"87",13702.4140721905
"88",22938.2508521351
"89",18314.4487706163
"90",11014.7860280998
"91",13931.9884698343
"92",11592.7785533648
"93",11668.0405168798
"94",14121.9987101937
"95",15379.8955126334
"96",17994.523882569
"97",10728.860868302
"98",11463.4367016872
"99",16632.4192768454
"100",11370.2051718781
"101",18350.536257615
"102",11899.1376789487
"103",13842.0017425629
"104",12407.5273454828
"105",12675.2341669949
"106",13673.3124143362
"107",12738.0013770868
"108",13867.8450807159
"109",10994.2427271453
"110",11719.2645175609
"111",11781.1115207766
"112",13765.3624188009
"113",15688.9828917771
"114",9865.55388884826
"115",13770.3520932884
"116",9549.95849955514
"117",14881.6553625552
"118",9410.98174690432
"119",10670.4621910807
"120",17359.0602322218
"121",11238.7469105596
"122",10957.4628513963
"123",9394.59076238945
"124",13475.9852577189
"125",12315.2089844059
"126",8002.96178367517
"127",10634.7681316347
"128",9415.20484923952
"129",13152.9228139035
"130",16569.3999370517
"131",12589.2553523182
"132",11514.1268053086
"133",7933.89514583558
"134",20344.3032744655
"135",10066.71382362
"136",10423.973604229
"137",10260.0481138465
"138",10858.6113471647
"139",12930.4622302197
"140",15711.2995706143
"141",13485.9335813832
"142",15668.1287643101
"143",9096.85274387162
"144",11597.7225566842
"145",17815.4725775519
"146",11563.9460244838
"147",12298.1365433873
"148",10505.5259916692
"149",9836.03223776632
"150",12756.5708365848
"151",18658.965964393
"152",12139.2739751788
"153",11961.3674030123
"154",12555.1645144412
"155",13704.4905779552
"156",10652.08856516
"157",14331.410310706
"158",10087.513197282
"159",10173.6779592191
"160",11406.3408822336
"161",11527.6156039912
"162",15816.375313808
"163",8815.42418314248
"164",18759.8512668319
"165",10256.9423583801
"166",10439.516249083
"167",12925.3837655506
"168",18831.5441231353
"169",9915.55632241149
"170",13127.0322675978
"171",13088.8535816686
"172",11634.9282457745
"173",10774.6159640825
"174",13695.942468805
"175",9008.23663181607
"176",12811.0322078095
"177",32821.4591246085
"178",12253.8619538446
"179",10955.1630715146
"180",12933.3559331085
"181",12133.926059868
"182",9672.19679401548
"183",14532.7888930638
"184",18122.1900555401
"185",11754.9598161628
"186",17444.3367050856
"187",15900.2191926201
"188",9751.1330263883
"189",24062.8137351511
"190",12358.3763257161
"191",14754.0070839091
"192",12990.4273627355
"193",15716.8547238882
"194",12037.1965504006
"195",17555.8670334216
"196",8758.42094734555
"197",10977.2210267408
"198",17507.090560988
"199",14293.502696001
"200",10868.4876458843
"201",9351.3105761137
"202",12564.6819453434
"203",19432.4055371681
"204",12436.2404022002
"205",11093.5696399275
"206",11801.9515873558
"207",13668.9383829186
"208",17862.4657564869
"209",19396.6900005145
"210",19403.0114185855
"211",14167.1551676693
"212",12686.831439649
"213",10918.6316048754
"214",15803.0932563772
"215",11436.1392407674
"216",15952.0681607869
"217",14340.7379626441
"218",13155.1390081642
"219",10978.9483575009
"220",15626.553348509
"221",15173.1845304622
"222",10042.1103206088
"223",13041.4786516433
"224",23261.0290374297
"225",12258.8757946849
"226",10333.1888832766
"227",11807.2273615709
"228",12741.1462793612
"229",11463.9324176399
"230",13410.1387102043
"231",12811.544938463
"232",12312.7229921293
"233",17882.3375042187
"234",21440.7943496061
"235",16097.266808303
"236",14975.1652995
"237",10833.0507137901
"238",9963.0515298966
"239",11993.4800901386
"240",9496.63744310695
"241",13138.8436468677
"242",14495.0143945369
"243",9826.33956559594
"244",16364.5586449256
"245",11511.3256627401
"246",9843.4778980197
"247",14154.6344733236
"248",11190.7093500119
"249",14044.3069964577
"250",11377.0547269781
"251",9765.15524224295
"252",8710.34004100695
"253",10073.4883749693
"254",15202.4516283424
"255",13555.0429089555
"256",11965.4234619609
"257",11861.4953603349
"258",9456.08840989722
"259",12945.0214646027
"260",12390.8073986076
"261",10284.3330052704
"262",15426.4250505821
"263",20093.0634750569
"264",11805.7535513711
"265",14417.8608392145
"266",13903.2165895992
"267",16026.1328244798
"268",11395.7021871517
"269",10850.4376260979
"270",12835.6223202884
"271",14115.2736283547
"272",11118.8331528563
"273",13042.8081671446
"274",11290.3692486845
"275",12553.1041905922
"276",9257.07412175223
"277",14921.5807599034
"278",12247.3349135761
"279",15570.4963068801
"280",15406.3099613269
"281",9722.60123376789
"282",24280.0197467713
"283",11125.9125751749
"284",11559.1646414888
"285",11404.5876284707
"286",15097.2616094
"287",11923.2289634982
"288",11054.4851566132
"289",19860.0734872293
"290",10477.3997150834
"291",23623.1176193607
"292",13190.0897891312
"293",13099.7942094831
"294",26249.7550698281
"295",15711.3594229296
"296",9057.65284600639
"297",9318.75498832879
"298",14046.4413378879
"299",13771.453880865
"300",16630.7103305143
"301",11773.1001019151
"302",14673.8209478568
"303",11219.3104079144
