"","x"
"1",2906
"2",813
"3",2059
"4",141
"5",4378
"6",2185
"7",28
"8",729
"9",473
"10",7619
"11",8651
"12",3650
"13",6746
"14",3356
"15",1316
"16",2414
"17",2734
"18",1893
"19",47
"20",383
"21",830
"22",424
"23",5237
"24",791
"25",4094
"26",703
"27",2362
"28",1613
"29",5984
"30",13908
"31",3834
"32",834
"33",13177
"34",11643
"35",52
"36",6694
"37",326
"38",2817
"39",1590
"40",3505
"41",3554
"42",1346
"43",1912
"44",1148
"45",2485
"46",3025
"47",3446
"48",4697
"49",4081
"50",2247
"51",1852
"52",532
"53",1082
"54",1785
"55",1116
"56",1357
"57",1674
"58",3770
"59",2028
"60",5061
"61",2092
"62",4119
"63",248
"64",7020
"65",45
"66",1303
"67",7050
"68",535
"69",3215
"70",487
"71",24
"72",1234
"73",7392
"74",20936
"75",1721
"76",1775
"77",988
"78",8623
"79",1354
"80",7609
"81",1466
"82",8274
"83",1869
"84",1683
"85",1733
"86",2557
"87",780
"88",11803
"89",1675
"90",109
"91",4630
"92",1127
"93",1226
"94",1599
"95",1460
"96",8822
"97",1748
"98",642
"99",3298
"100",417
"101",9065
"102",955
"103",1593
"104",10
"105",1601
"106",34
"107",627
"108",1679
"109",806
"110",2640
"111",1269
"112",429
"113",3445
"114",1250
"115",1802
"116",518
"117",1006
"118",4
"119",106
"120",5674
"121",219
"122",857
"123",100
"124",5867
"125",1294
"126",70
"127",528
"128",510
"129",3757
"130",2434
"131",521
"132",3109
"133",203
"134",8273
"135",75
"136",305
"137",1762
"138",855
"139",2251
"140",534
"141",1511
"142",9
"143",88
"144",548
"145",6898
"146",3434
"147",392
"148",918
"149",1923
"150",3256
"151",8720
"152",3894
"153",1010
"154",1103
"155",823
"156",1233
"157",123
"158",803
"159",456
"160",1330
"161",151
"162",4365
"163",1503
"164",8151
"165",2455
"166",24
"167",3119
"168",4412
"169",227
"170",514
"171",1503
"172",768
"173",1325
"174",2725
"175",367
"176",212
"177",16499
